date,value
1980-01-01,6.57
1980-02-01,6.63
1980-03-01,6.69
1980-04-01,6.72
1980-05-01,6.76
1980-06-01,6.82
1980-07-01,6.86
1980-08-01,6.91
1980-09-01,6.95
1980-10-01,7.02
1980-11-01,7.09
1980-12-01,7.13
1981-01-01,7.18
1981-02-01,7.23
1981-03-01,7.29
1981-04-01,7.33
1981-05-01,7.37
1981-06-01,7.41
1981-07-01,7.45
1981-08-01,7.52
1981-09-01,7.56
1981-10-01,7.59
1981-11-01,7.63
1981-12-01,7.64
1982-01-01,7.72
1982-02-01,7.72
1982-03-01,7.75
1982-04-01,7.77
1982-05-01,7.84
1982-06-01,7.85
1982-07-01,7.9
1982-08-01,7.94
1982-09-01,7.94
1982-10-01,7.96
1982-11-01,7.98
1982-12-01,8.01
1983-01-01,8.06
1983-02-01,8.09
1983-03-01,8.1
1983-04-01,8.13
1983-05-01,8.17
1983-06-01,8.19
1983-07-01,8.22
1983-08-01,8.2
1983-09-01,8.27
1983-10-01,8.31
1983-11-01,8.31
1983-12-01,8.33
1984-01-01,8.38
1984-02-01,8.38
1984-03-01,8.41
1984-04-01,8.45
1984-05-01,8.45
1984-06-01,8.48
1984-07-01,8.51
1984-08-01,8.51
1984-09-01,8.55
1984-10-01,8.55
1984-11-01,8.57
1984-12-01,8.61
1985-01-01,8.61
1985-02-01,8.64
1985-03-01,8.66
1985-04-01,8.69
1985-05-01,8.7
1985-06-01,8.74
1985-07-01,8.74
1985-08-01,8.76
1985-09-01,8.8
1985-10-01,8.79
1985-11-01,8.81
1985-12-01,8.87
1986-01-01,8.85
1986-02-01,8.88
1986-03-01,8.89
1986-04-01,8.88
1986-05-01,8.9
1986-06-01,8.92
1986-07-01,8.91
1986-08-01,8.94
1986-09-01,8.94
1986-10-01,8.96
1986-11-01,9.01
1986-12-01,9.01
1987-01-01,9.02
1987-02-01,9.05
1987-03-01,9.07
1987-04-01,9.08
1987-05-01,9.11
1987-06-01,9.11
1987-07-01,9.12
1987-08-01,9.18
1987-09-01,9.19
1987-10-01,9.22
1987-11-01,9.27
1987-12-01,9.28
1988-01-01,9.29
1988-02-01,9.29
1988-03-01,9.31
1988-04-01,9.36
1988-05-01,9.41
1988-06-01,9.41
1988-07-01,9.45
1988-08-01,9.46
1988-09-01,9.51
1988-10-01,9.56
1988-11-01,9.58
1988-12-01,9.6
1989-01-01,9.65
1989-02-01,9.68
1989-03-01,9.7
1989-04-01,9.75
1989-05-01,9.74
1989-06-01,9.77
1989-07-01,9.83
1989-08-01,9.83
1989-09-01,9.87
1989-10-01,9.92
1989-11-01,9.93
1989-12-01,9.98
1990-01-01,10.02
1990-02-01,10.07
1990-03-01,10.11
1990-04-01,10.12
1990-05-01,10.16
1990-06-01,10.2
1990-07-01,10.22
1990-08-01,10.24
1990-09-01,10.27
1990-10-01,10.3
1990-11-01,10.32
1990-12-01,10.34
1991-01-01,10.37
1991-02-01,10.39
1991-03-01,10.41
1991-04-01,10.46
1991-05-01,10.5
1991-06-01,10.51
1991-07-01,10.54
1991-08-01,10.56
1991-09-01,10.58
1991-10-01,10.59
1991-11-01,10.61
1991-12-01,10.64
1992-01-01,10.64
1992-02-01,10.66
1992-03-01,10.68
1992-04-01,10.72
1992-05-01,10.74
1992-06-01,10.77
1992-07-01,10.78
1992-08-01,10.81
1992-09-01,10.83
1992-10-01,10.85
1992-11-01,10.86
1992-12-01,10.9
1993-01-01,10.93
1993-02-01,10.95
1993-03-01,10.99
1993-04-01,10.99
1993-05-01,11.01
1993-06-01,11.03
1993-07-01,11.05
1993-08-01,11.07
1993-09-01,11.09
1993-10-01,11.13
1993-11-01,11.15
1993-12-01,11.18
1994-01-01,11.2
1994-02-01,11.25
1994-03-01,11.25
1994-04-01,11.27
1994-05-01,11.29
1994-06-01,11.31
1994-07-01,11.34
1994-08-01,11.36
1994-09-01,11.39
1994-10-01,11.42
1994-11-01,11.45
1994-12-01,11.48
1995-01-01,11.48
1995-02-01,11.52
1995-03-01,11.55
1995-04-01,11.56
1995-05-01,11.59
1995-06-01,11.63
1995-07-01,11.67
1995-08-01,11.69
1995-09-01,11.73
1995-10-01,11.75
1995-11-01,11.78
1995-12-01,11.81
1996-01-01,11.86
1996-02-01,11.87
1996-03-01,11.89
1996-04-01,11.96
1996-05-01,11.98
1996-06-01,12.03
1996-07-01,12.05
1996-08-01,12.1
1996-09-01,12.13
1996-10-01,12.16
1996-11-01,12.2
1996-12-01,12.24
1997-01-01,12.29
1997-02-01,12.31
1997-03-01,12.35
1997-04-01,12.39
1997-05-01,12.43
1997-06-01,12.46
1997-07-01,12.5
1997-08-01,12.57
1997-09-01,12.6
1997-10-01,12.66
1997-11-01,12.71
1997-12-01,12.75
1998-01-01,12.79
1998-02-01,12.83
1998-03-01,12.87
1998-04-01,12.92
1998-05-01,12.97
1998-06-01,12.99
1998-07-01,13.0
1998-08-01,13.07
1998-09-01,13.11
1998-10-01,13.14
1998-11-01,13.17
1998-12-01,13.21
1999-01-01,13.27
1999-02-01,13.3
1999-03-01,13.34
1999-04-01,13.38
1999-05-01,13.42
1999-06-01,13.47
1999-07-01,13.51
1999-08-01,13.53
1999-09-01,13.61
1999-10-01,13.64
1999-11-01,13.66
1999-12-01,13.7
2000-01-01,13.74
