date,value
1980-01-04,1.04893
1980-01-11,0.94991
1980-01-18,0.85908
1980-01-25,0.79882
1980-02-01,0.80005
1980-02-08,0.88473
1980-02-15,1.06506
1980-02-22,1.3371
1980-02-29,1.68147
1980-03-07,2.06686
1980-03-14,2.4729
1980-03-21,2.86597
1980-03-28,3.20974
1980-04-04,3.48075
1980-04-11,3.63641
1980-04-18,3.65616
1980-04-25,3.54162
1980-05-02,3.31528
1980-05-09,3.02024
1980-05-16,2.71229
1980-05-23,2.42479
1980-05-30,2.16569
1980-06-06,1.93243
1980-06-13,1.70189
1980-06-20,1.45668
1980-06-27,1.20829
1980-07-04,0.98244
1980-07-11,0.79724
1980-07-18,0.6799
1980-07-25,0.6231
1980-08-01,0.61422
1980-08-08,0.63942
1980-08-15,0.68099
1980-08-22,0.7275
1980-08-29,0.787
1980-09-05,0.85287
1980-09-12,0.90417
1980-09-19,0.94072
1980-09-26,0.95357
1980-10-03,0.9488
1980-10-10,0.94313
1980-10-17,0.97475
1980-10-24,1.05382
1980-10-31,1.19901
1980-11-07,1.40278
1980-11-14,1.64217
1980-11-21,1.90713
1980-11-28,2.18248
1980-12-05,2.4317
1980-12-12,2.63617
1980-12-19,2.78661
1980-12-26,2.82779
1981-01-02,2.76665
1981-01-09,2.60118
1981-01-16,2.36219
1981-01-23,2.08604
1981-01-30,1.8196
1981-02-06,1.58159
1981-02-13,1.39274
1981-02-20,1.24933
1981-02-27,1.12416
1981-03-06,1.02553
1981-03-13,0.95532
1981-03-20,0.92214
1981-03-27,0.93573
1981-04-03,0.99767
1981-04-10,1.08411
1981-04-17,1.18743
1981-04-24,1.27938
1981-05-01,1.36701
1981-05-08,1.47218
1981-05-15,1.61146
1981-05-22,1.79373
1981-05-29,2.02953
1981-06-05,2.28857
1981-06-12,2.55673
1981-06-19,2.80934
1981-06-26,3.03614
1981-07-03,3.23313
1981-07-10,3.3949
1981-07-17,3.51269
1981-07-24,3.56609
1981-07-31,3.55888
1981-08-07,3.48788
1981-08-14,3.37911
1981-08-21,3.26461
1981-08-28,3.17166
1981-09-04,3.10367
1981-09-11,3.05997
1981-09-18,3.01397
1981-09-25,2.95651
1981-10-02,2.89911
1981-10-09,2.84276
1981-10-16,2.80904
1981-10-23,2.79497
1981-10-30,2.78164
1981-11-06,2.74211
1981-11-13,2.6675
1981-11-20,2.55988
1981-11-27,2.44782
1981-12-04,2.36291
1981-12-11,2.31464
1981-12-18,2.29403
1981-12-25,2.2826
1982-01-01,2.24919
1982-01-08,2.18745
1982-01-15,2.11779
1982-01-22,2.06169
1982-01-29,2.05045
1982-02-05,2.08075
1982-02-12,2.14368
1982-02-19,2.21141
1982-02-26,2.26009
1982-03-05,2.27441
1982-03-12,2.26373
1982-03-19,2.25015
1982-03-26,2.24444
1982-04-02,2.24909
1982-04-09,2.26893
1982-04-16,2.29626
1982-04-23,2.32977
1982-04-30,2.38269
1982-05-07,2.4715
1982-05-14,2.608
1982-05-21,2.79604
1982-05-28,3.01299
1982-06-04,3.22933
1982-06-11,3.41935
1982-06-18,3.55004
1982-06-25,3.6061
1982-07-02,3.59237
1982-07-09,3.52615
1982-07-16,3.42769
1982-07-23,3.33309
1982-07-30,3.26958
1982-08-06,3.26569
1982-08-13,3.33986
1982-08-20,3.49128
1982-08-27,3.7088
1982-09-03,3.95513
1982-09-10,4.17416
1982-09-17,4.30638
1982-09-24,4.2971
1982-10-01,4.12198
1982-10-08,3.79064
1982-10-15,3.3457
1982-10-22,2.85206
1982-10-29,2.37144
1982-11-05,1.95426
1982-11-12,1.62698
1982-11-19,1.39697
1982-11-26,1.25581
1982-12-03,1.1805
1982-12-10,1.14364
1982-12-17,1.12003
1982-12-24,1.08098
1982-12-31,1.01311
1983-01-07,0.91401
1983-01-14,0.79539
1983-01-21,0.67229
1983-01-28,0.56246
1983-02-04,0.47527
1983-02-11,0.41004
1983-02-18,0.36579
1983-02-25,0.33726
1983-03-04,0.31895
1983-03-11,0.31521
1983-03-18,0.32458
1983-03-25,0.33703
1983-04-01,0.34404
1983-04-08,0.33138
1983-04-15,0.28964
1983-04-22,0.22012
1983-04-29,0.13291
1983-05-06,0.04307
1983-05-13,-0.0342
1983-05-20,-0.09121
1983-05-27,-0.13183
1983-06-03,-0.15681
1983-06-10,-0.17029
1983-06-17,-0.17471
1983-06-24,-0.16659
1983-07-01,-0.14303
1983-07-08,-0.11095
1983-07-15,-0.07697
1983-07-22,-0.05241
1983-07-29,-0.04438
1983-08-05,-0.05373
1983-08-12,-0.07619
1983-08-19,-0.10746
1983-08-26,-0.1417
1983-09-02,-0.17941
1983-09-09,-0.22321
1983-09-16,-0.27149
1983-09-23,-0.31641
1983-09-30,-0.35026
1983-10-07,-0.36332
1983-10-14,-0.3506
1983-10-21,-0.31527
1983-10-28,-0.27041
1983-11-04,-0.22013
1983-11-11,-0.17261
1983-11-18,-0.12357
1983-11-25,-0.06886
1983-12-02,-0.0091
1983-12-09,0.05143
1983-12-16,0.10074
1983-12-23,0.1248
1983-12-30,0.11567
1984-01-06,0.07883
1984-01-13,0.02113
1984-01-20,-0.04656
1984-01-27,-0.11263
1984-02-03,-0.17286
1984-02-10,-0.22542
1984-02-17,-0.26632
1984-02-24,-0.29337
1984-03-02,-0.30092
1984-03-09,-0.28602
1984-03-16,-0.25099
1984-03-23,-0.20098
1984-03-30,-0.13952
1984-04-06,-0.06826
1984-04-13,0.01559
1984-04-20,0.11931
1984-04-27,0.24664
1984-05-04,0.3921
1984-05-11,0.54645
1984-05-18,0.69609
1984-05-25,0.832
1984-06-01,0.95415
1984-06-08,1.06225
1984-06-15,1.15901
1984-06-22,1.2374
1984-06-29,1.28271
1984-07-06,1.27833
1984-07-13,1.21732
1984-07-20,1.10902
1984-07-27,0.97145
