date,value
1980-01-01,281.8501
1980-02-01,285.6731
1980-03-01,289.3844
1980-04-01,290.6018
1980-05-01,287.8784
1980-06-01,287.0378
1980-07-01,288.0583
1980-08-01,291.4491
1980-09-01,294.7925
1980-10-01,299.9573
1980-11-01,307.3743
1980-12-01,312.0383
1981-01-01,312.4522
1981-02-01,313.117
1981-03-01,314.3933
1981-04-01,318.5024
1981-05-01,324.08
1981-06-01,328.1726
1981-07-01,331.8571
1981-08-01,336.523
1981-09-01,338.1155
1981-10-01,341.1989
1981-11-01,345.5088
1981-12-01,350.3077
1982-01-01,354.8455
1982-02-01,360.7137
1982-03-01,363.9746
1982-04-01,371.0565
1982-05-01,375.9823
1982-06-01,380.5642
1982-07-01,384.0437
1982-08-01,385.8593
1982-09-01,391.0385
1982-10-01,392.3917
1982-11-01,391.9751
1982-12-01,392.0419
1983-01-01,393.1864
1983-02-01,393.3556
1983-03-01,393.8048
1983-04-01,392.4259
1983-05-01,391.4906
1983-06-01,393.8395
1983-07-01,397.7945
1983-08-01,401.5866
1983-09-01,402.529
1983-10-01,405.7486
1983-11-01,409.6174
1983-12-01,413.9404
1984-01-01,415.6054
1984-02-01,423.5808
1984-03-01,430.9463
1984-04-01,437.8374
1984-05-01,446.3183
1984-06-01,450.9723
1984-07-01,455.8009
1984-08-01,458.7925
1984-09-01,461.9148
1984-10-01,466.3545
1984-11-01,470.9618
1984-12-01,473.3524
1985-01-01,472.9868
1985-02-01,476.2564
1985-03-01,480.0977
1985-04-01,478.6879
1985-05-01,480.7952
1985-06-01,482.3543
1985-07-01,486.9483
1985-08-01,489.7272
1985-09-01,494.239
1985-10-01,493.1745
1985-11-01,497.1682
1985-12-01,498.9813
1986-01-01,500.4754
1986-02-01,501.4284
1986-03-01,505.219
1986-04-01,507.336
1986-05-01,507.9494
1986-06-01,511.2815
1986-07-01,512.8867
1986-08-01,514.9309
1986-09-01,517.5387
1986-10-01,517.528
1986-11-01,523.9441
1986-12-01,539.3086
1987-01-01,548.8817
1987-02-01,547.3783
1987-03-01,548.1938
1987-04-01,549.3757
1987-05-01,551.5846
1987-06-01,554.5518
1987-07-01,553.2904
1987-08-01,553.955
1987-09-01,561.1577
1987-10-01,563.0739
1987-11-01,562.6052
1987-12-01,565.2319
1988-01-01,567.18
1988-02-01,568.4762
1988-03-01,571.2544
1988-04-01,577.398
1988-05-01,583.868
1988-06-01,588.9893
1988-07-01,593.791
1988-08-01,594.3887
1988-09-01,595.3106
1988-10-01,599.0389
1988-11-01,601.1266
1988-12-01,604.8488
1989-01-01,606.3592
1989-02-01,617.125
1989-03-01,616.3839
1989-04-01,619.1666
1989-05-01,624.3541
1989-06-01,624.2126
1989-07-01,630.8649
1989-08-01,635.119
1989-09-01,637.0275
1989-10-01,639.3536
1989-11-01,639.7143
1989-12-01,637.9449
1990-01-01,635.7875
1990-02-01,636.5317
1990-03-01,638.2437
1990-04-01,640.9802
1990-05-01,639.811
1990-06-01,641.3645
1990-07-01,639.7963
1990-08-01,640.2745
1990-09-01,639.3691
1990-10-01,637.518
1990-11-01,639.1886
1990-12-01,642.0284
1991-01-01,636.1319
1991-02-01,635.9164
1991-03-01,635.219
1991-04-01,631.3454
1991-05-01,627.7868
1991-06-01,626.1112
1991-07-01,623.1573
1991-08-01,618.3468
1991-09-01,620.4959
1991-10-01,620.9588
1991-11-01,618.4141
1991-12-01,618.8362
1992-01-01,613.5738
1992-02-01,609.6743
1992-03-01,607.3438
1992-04-01,604.4206
1992-05-01,602.2525
1992-06-01,600.7283
1992-07-01,599.2521
1992-08-01,597.2831
1992-09-01,598.3956
1992-10-01,596.8324
1992-11-01,596.8948
1992-12-01,596.9202
1993-01-01,595.4533
1993-02-01,593.4074
1993-03-01,591.3007
1993-04-01,585.5795
1993-05-01,588.0061
1993-06-01,589.9095
1993-07-01,587.9277
1993-08-01,587.8156
1993-09-01,585.4565
1993-10-01,583.9072
1993-11-01,584.0483
1993-12-01,583.9928
1994-01-01,587.4178
1994-02-01,587.9219
1994-03-01,594.7889
1994-04-01,600.4038
1994-05-01,604.7512
1994-06-01,608.7014
1994-07-01,616.5733
1994-08-01,622.3122
1994-09-01,625.0522
1994-10-01,631.6197
1994-11-01,638.4621
1994-12-01,643.9879
1995-01-01,654.3104
1995-02-01,666.3843
1995-03-01,673.4962
1995-04-01,677.4348
1995-05-01,686.0514
1995-06-01,690.3815
1995-07-01,698.6658
1995-08-01,703.1401
1995-09-01,706.2303
1995-10-01,706.4451
1995-11-01,712.7022
