date,value
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,63.732
1987-02-01,64.131
1987-03-01,64.467
1987-04-01,64.972
1987-05-01,65.546
1987-06-01,66.217
1987-07-01,66.785
1987-08-01,67.268
1987-09-01,67.623
1987-10-01,67.902
1987-11-01,68.092
1987-12-01,68.344
1988-01-01,68.583
1988-02-01,68.917
1988-03-01,69.325
1988-04-01,69.788
1988-05-01,70.408
1988-06-01,71.066
1988-07-01,71.684
1988-08-01,72.184
1988-09-01,72.572
1988-10-01,72.82
1988-11-01,73.062
1988-12-01,73.276
1989-01-01,73.616
1989-02-01,73.968
1989-03-01,74.41
1989-04-01,74.867
1989-05-01,75.295
1989-06-01,75.694
1989-07-01,76.039
1989-08-01,76.269
1989-09-01,76.418
1989-10-01,76.485
1989-11-01,76.518
1989-12-01,76.496
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.039
1990-05-01,77.297
1990-06-01,77.505
1990-07-01,77.56
1990-08-01,77.478
1990-09-01,77.227
1990-10-01,76.911
1990-11-01,76.38
1990-12-01,75.97
1991-01-01,75.532
1991-02-01,75.247
1991-03-01,75.134
1991-04-01,75.317
1991-05-01,75.765
1991-06-01,76.254
1991-07-01,76.513
1991-08-01,76.59
1991-09-01,76.575
1991-10-01,76.288
1991-11-01,76.029
1991-12-01,75.84
1992-01-01,75.702
1992-02-01,75.658
1992-03-01,75.816
1992-04-01,76.081
1992-05-01,76.398
1992-06-01,76.601
1992-07-01,76.711
1992-08-01,76.731
1992-09-01,76.628
1992-10-01,76.598
1992-11-01,76.58
1992-12-01,76.465
1993-01-01,76.396
1993-02-01,76.328
1993-03-01,76.383
1993-04-01,76.661
1993-05-01,77.03
1993-06-01,77.516
1993-07-01,77.886
1993-08-01,78.132
1993-09-01,78.199
1993-10-01,78.174
1993-11-01,78.172
1993-12-01,78.115
1994-01-01,78.199
1994-02-01,78.205
1994-03-01,78.349
1994-04-01,78.701
1994-05-01,79.209
1994-06-01,79.701
1994-07-01,80.063
1994-08-01,80.316
1994-09-01,80.34
1994-10-01,80.304
1994-11-01,80.17
1994-12-01,80.078
1995-01-01,80.027
1995-02-01,79.992
1995-03-01,80.077
1995-04-01,80.369
1995-05-01,80.691
1995-06-01,81.068
1995-07-01,81.412
1995-08-01,81.654
1995-09-01,81.738
1995-10-01,81.727
1995-11-01,81.63
1995-12-01,81.513
1996-01-01,81.427
1996-02-01,81.4
1996-03-01,81.666
1996-04-01,82.124
1996-05-01,82.601
1996-06-01,83.048
1996-07-01,83.418
1996-08-01,83.645
1996-09-01,83.702
1996-10-01,83.629
1996-11-01,83.556
1996-12-01,83.49
1997-01-01,83.53
1997-02-01,83.596
1997-03-01,83.91
1997-04-01,84.319
1997-05-01,84.863
1997-06-01,85.398
1997-07-01,85.842
1997-08-01,86.151
1997-09-01,86.312
1997-10-01,86.409
1997-11-01,86.632
1997-12-01,86.849
1998-01-01,87.165
1998-02-01,87.375
1998-03-01,87.879
1998-04-01,88.558
1998-05-01,89.374
1998-06-01,90.194
1998-07-01,90.859
1998-08-01,91.406
1998-09-01,91.751
1998-10-01,91.998
1998-11-01,92.196
1998-12-01,92.443
1999-01-01,92.714
1999-02-01,92.981
1999-03-01,93.611
1999-04-01,94.436
1999-05-01,95.361
1999-06-01,96.364
1999-07-01,97.193
1999-08-01,97.898
1999-09-01,98.4
1999-10-01,98.832
1999-11-01,99.148
1999-12-01,99.542
2000-01-01,100.0
2000-02-01,100.571
2000-03-01,101.466
2000-04-01,102.54
2000-05-01,103.701
2000-06-01,104.856
2000-07-01,105.723
2000-08-01,106.523
2000-09-01,107.137
2000-10-01,107.73
2000-11-01,108.292
2000-12-01,108.792
2001-01-01,109.215
2001-02-01,109.643
2001-03-01,110.394
2001-04-01,111.247
2001-05-01,112.202
2001-06-01,113.272
2001-07-01,114.228
2001-08-01,114.989
2001-09-01,115.466
2001-10-01,115.681
2001-11-01,115.838
2001-12-01,116.055
2002-01-01,116.437
2002-02-01,116.917
2002-03-01,117.93
2002-04-01,119.209
2002-05-01,120.789
2002-06-01,122.334
2002-07-01,123.688
2002-08-01,124.731
2002-09-01,125.495
