date,value
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,
1992-02-01,114535.0
1992-03-01,120025.0
1992-04-01,124470.0
1992-05-01,125822.0
1992-06-01,122834.0
1992-07-01,122590.0
1992-08-01,120411.0
1992-09-01,120711.0
1992-10-01,127392.0
1992-11-01,122374.0
1992-12-01,126080.0
1993-01-01,121637.0
1993-02-01,128854.0
1993-03-01,126762.0
1993-04-01,127395.0
1993-05-01,126529.0
1993-06-01,130212.0
1993-07-01,128111.0
1993-08-01,129378.0
1993-09-01,127233.0
1993-10-01,133168.0
1993-11-01,130391.0
1993-12-01,133565.0
1994-01-01,138498.0
1994-02-01,137141.0
1994-03-01,136548.0
1994-04-01,140336.0
1994-05-01,142630.0
1994-06-01,145063.0
1994-07-01,145013.0
1994-08-01,145884.0
1994-09-01,145487.0
1994-10-01,149547.0
1994-11-01,150038.0
1994-12-01,152489.0
1995-01-01,150459.0
1995-02-01,153856.0
1995-03-01,152888.0
1995-04-01,151401.0
1995-05-01,152838.0
1995-06-01,150051.0
1995-07-01,148915.0
1995-08-01,154372.0
1995-09-01,160175.0
1995-10-01,155473.0
1995-11-01,156146.0
1995-12-01,163279.0
1996-01-01,155806.0
1996-02-01,150773.0
1996-03-01,164976.0
1996-04-01,156830.0
1996-05-01,164502.0
1996-06-01,164599.0
1996-07-01,163588.0
1996-08-01,157310.0
1996-09-01,165442.0
1996-10-01,165266.0
1996-11-01,170783.0
1996-12-01,162332.0
1997-01-01,161827.0
1997-02-01,170221.0
1997-03-01,167568.0
1997-04-01,174054.0
1997-05-01,168586.0
1997-06-01,174828.0
1997-07-01,178860.0
1997-08-01,177302.0
1997-09-01,177835.0
1997-10-01,177801.0
1997-11-01,191187.0
1997-12-01,173770.0
1998-01-01,174288.0
1998-02-01,181270.0
1998-03-01,176886.0
1998-04-01,180915.0
1998-05-01,180634.0
1998-06-01,172189.0
1998-07-01,170459.0
1998-08-01,179033.0
1998-09-01,181422.0
1998-10-01,178527.0
1998-11-01,182400.0
1998-12-01,178424.0
1999-01-01,186527.0
1999-02-01,185546.0
1999-03-01,184689.0
1999-04-01,182993.0
1999-05-01,185963.0
1999-06-01,182590.0
1999-07-01,189083.0
1999-08-01,189414.0
1999-09-01,188910.0
1999-10-01,194547.0
1999-11-01,186597.0
1999-12-01,196344.0
2000-01-01,201360.0
2000-02-01,183911.0
2000-03-01,192130.0
2000-04-01,195044.0
2000-05-01,188606.0
2000-06-01,219745.0
2000-07-01,189265.0
2000-08-01,188730.0
2000-09-01,199947.0
2000-10-01,186158.0
2000-11-01,189392.0
2000-12-01,188659.0
2001-01-01,177056.0
2001-02-01,180276.0
2001-03-01,182209.0
2001-04-01,171850.0
2001-05-01,177749.0
2001-06-01,176350.0
2001-07-01,170129.0
2001-08-01,170484.0
2001-09-01,164123.0
2001-10-01,171530.0
2001-11-01,163811.0
2001-12-01,165304.0
2002-01-01,163324.0
2002-02-01,172406.0
2002-03-01,167853.0
2002-04-01,171852.0
2002-05-01,171854.0
2002-06-01,166070.0
2002-07-01,174282.0
2002-08-01,177126.0
2002-09-01,166838.0
2002-10-01,169134.0
2002-11-01,170023.0
2002-12-01,163962.0
2003-01-01,169994.0
2003-02-01,174113.0
