date,value
2009-11-01,100.2
2009-12-01,100.3
2010-01-01,101.2
2010-02-01,101.0
2010-03-01,101.1
2010-04-01,101.4
2010-05-01,101.6
2010-06-01,101.4
2010-07-01,101.6
2010-08-01,101.8
2010-09-01,102.1
2010-10-01,102.5
2010-11-01,102.8
2010-12-01,103.1
2011-01-01,103.7
2011-02-01,104.3
2011-03-01,105.0
2011-04-01,105.5
2011-05-01,105.8
2011-06-01,105.9
2011-07-01,106.1
2011-08-01,106.3
2011-09-01,106.7
2011-10-01,106.3
2011-11-01,106.6
2011-12-01,106.5
2012-01-01,106.9
2012-02-01,107.2
2012-03-01,107.4
2012-04-01,107.7
2012-05-01,107.6
2012-06-01,107.3
2012-07-01,107.2
2012-08-01,107.5
2012-09-01,108.2
2012-10-01,108.3
2012-11-01,108.4
2012-12-01,108.4
2013-01-01,108.7
2013-02-01,108.9
2013-03-01,108.9
2013-04-01,108.7
2013-05-01,108.6
2013-06-01,109.0
2013-07-01,109.2
2013-08-01,109.3
2013-09-01,109.3
2013-10-01,109.5
2013-11-01,109.7
2013-12-01,109.8
2014-01-01,110.1
2014-02-01,110.3
2014-03-01,110.7
2014-04-01,110.8
2014-05-01,111.0
2014-06-01,110.9
2014-07-01,111.3
2014-08-01,111.3
2014-09-01,111.1
2014-10-01,111.3
2014-11-01,111.1
2014-12-01,110.8
2015-01-01,110.1
2015-02-01,109.6
2015-03-01,109.8
2015-04-01,109.6
2015-05-01,110.0
2015-06-01,110.3
2015-07-01,110.5
2015-08-01,110.3
2015-09-01,109.9
2015-10-01,109.6
2015-11-01,109.7
2015-12-01,109.6
2016-01-01,110.0
2016-02-01,109.7
2016-03-01,109.7
2016-04-01,109.9
2016-05-01,110.1
2016-06-01,110.6
2016-07-01,110.5
2016-08-01,110.3
2016-09-01,110.6
2016-10-01,110.9
2016-11-01,111.1
2016-12-01,111.4
2017-01-01,111.9
2017-02-01,111.9
2017-03-01,112.1
2017-04-01,112.6
2017-05-01,112.5
2017-06-01,112.6
2017-07-01,112.7
2017-08-01,113.1
2017-09-01,113.5
2017-10-01,113.9
2017-11-01,114.3
2017-12-01,114.4
2018-01-01,114.8
2018-02-01,115.1
2018-03-01,115.3
2018-04-01,115.5
2018-05-01,115.9
2018-06-01,116.3
2018-07-01,116.4
2018-08-01,116.5
2018-09-01,116.7
2018-10-01,117.5
2018-11-01,117.4
2018-12-01,117.4
2019-01-01,117.0
2019-02-01,117.2
2019-03-01,117.6
2019-04-01,118.2
2019-05-01,118.3
2019-06-01,118.2
2019-07-01,118.5
2019-08-01,118.6
2019-09-01,118.3
2019-10-01,118.8
2019-11-01,118.6
2019-12-01,119.0
2020-01-01,119.2
2020-02-01,118.6
2020-03-01,118.0
2020-04-01,116.6
2020-05-01,117.2
2020-06-01,117.5
2020-07-01,118.2
2020-08-01,118.4
2020-09-01,118.8
2020-10-01,119.4
2020-11-01,119.5
2020-12-01,120.0
2021-01-01,121.2
2021-02-01,122.0
2021-03-01,122.8
2021-04-01,124.1
2021-05-01,125.3
2021-06-01,126.2
2021-07-01,127.484
2021-08-01,128.591
2021-09-01,129.234
2021-10-01,130.037
2021-11-01,131.404
2021-12-01,132.252
2022-01-01,133.579
2022-02-01,134.79
2022-03-01,137.041
2022-04-01,137.792
2022-05-01,139.044
2022-06-01,140.256
2022-07-01,139.823
2022-08-01,139.739
2022-09-01,140.212
2022-10-01,140.647
2022-11-01,141.075
2022-12-01,140.707
2023-01-01,141.306
2023-02-01,141.187
2023-03-01,140.743
2023-04-01,140.97
2023-05-01,140.667
2023-06-01,140.673
2023-07-01,141.443
2023-08-01,142.367
2023-09-01,142.737
2023-10-01,142.202
2023-11-01,142.26
2023-12-01,142.206
2024-01-01,142.713
2024-02-01,143.432
2024-03-01,143.513
2024-04-01,144.208
2024-05-01,144.255
2024-06-01,144.829
2024-07-01,144.869
2024-08-01,145.36
2024-09-01,145.792
2024-10-01,146.242
2024-11-01,146.391
2024-12-01,147.126
2025-01-01,148.132
2025-02-01,148.323
2025-03-01,148.061
2025-04-01,147.686
2025-05-01,148.205
2025-06-01,148.315
2025-07-01,149.519
2025-08-01,149.316
2025-09-01,149.779
