date,value
1992-01-01,142419.0
1992-02-01,142584.0
1992-03-01,142120.0
1992-04-01,143659.0
1992-05-01,144239.0
1992-06-01,145273.0
1992-07-01,146743.0
1992-08-01,146070.0
1992-09-01,147932.0
1992-10-01,149346.0
1992-11-01,149131.0
1992-12-01,150578.0
1993-01-01,152329.0
1993-02-01,151742.0
1993-03-01,150525.0
1993-04-01,154720.0
1993-05-01,155537.0
1993-06-01,155353.0
1993-07-01,158267.0
1993-08-01,157425.0
1993-09-01,158535.0
1993-10-01,159773.0
1993-11-01,162004.0
1993-12-01,163258.0
1994-01-01,162369.0
1994-02-01,165075.0
1994-03-01,168330.0
1994-04-01,168262.0
1994-05-01,167412.0
1994-06-01,169337.0
1994-07-01,169514.0
1994-08-01,172332.0
1994-09-01,174018.0
1994-10-01,175309.0
1994-11-01,175761.0
1994-12-01,176168.0
1995-01-01,177136.0
1995-02-01,174560.0
1995-03-01,176376.0
1995-04-01,176353.0
1995-05-01,179020.0
1995-06-01,181382.0
1995-07-01,180019.0
1995-08-01,181787.0
1995-09-01,182074.0
1995-10-01,181411.0
1995-11-01,184327.0
1995-12-01,184841.0
1996-01-01,184636.0
1996-02-01,187576.0
1996-03-01,188237.0
1996-04-01,189778.0
1996-05-01,191544.0
1996-06-01,189960.0
1996-07-01,191113.0
1996-08-01,191139.0
1996-09-01,193303.0
1996-10-01,195420.0
1996-11-01,194860.0
1996-12-01,195318.0
1997-01-01,197447.0
1997-02-01,198891.0
1997-03-01,200352.0
1997-04-01,197212.0
1997-05-01,196937.0
1997-06-01,199311.0
1997-07-01,201751.0
1997-08-01,201892.0
1997-09-01,202992.0
1997-10-01,203055.0
1997-11-01,202778.0
1997-12-01,203837.0
1998-01-01,204505.0
1998-02-01,204207.0
1998-03-01,205311.0
1998-04-01,208683.0
1998-05-01,209165.0
1998-06-01,211222.0
1998-07-01,209658.0
1998-08-01,207737.0
1998-09-01,210112.0
1998-10-01,213794.0
1998-11-01,215194.0
1998-12-01,217396.0
1999-01-01,217930.0
1999-02-01,220769.0
1999-03-01,222199.0
1999-04-01,223837.0
1999-05-01,225577.0
1999-06-01,226474.0
1999-07-01,228424.0
1999-08-01,230902.0
1999-09-01,231912.0
1999-10-01,231254.0
1999-11-01,234425.0
1999-12-01,239589.0
2000-01-01,237541.0
2000-02-01,241541.0
2000-03-01,244533.0
2000-04-01,239552.0
2000-05-01,241546.0
2000-06-01,243226.0
2000-07-01,240979.0
2000-08-01,242318.0
2000-09-01,245520.0
2000-10-01,245399.0
2000-11-01,243846.0
2000-12-01,243844.0
2001-01-01,247339.0
2001-02-01,247289.0
2001-03-01,244514.0
2001-04-01,249113.0
2001-05-01,250250.0
2001-06-01,248836.0
2001-07-01,247336.0
2001-08-01,249590.0
2001-09-01,243130.0
2001-10-01,262862.0
2001-11-01,254084.0
2001-12-01,249879.0
2002-01-01,250603.0
2002-02-01,252279.0
2002-03-01,251542.0
2002-04-01,254543.0
2002-05-01,252390.0
2002-06-01,253652.0
2002-07-01,257339.0
2002-08-01,259050.0
2002-09-01,254081.0
2002-10-01,256131.0
2002-11-01,256350.0
2002-12-01,259206.0
2003-01-01,261394.0
2003-02-01,257531.0
2003-03-01,260566.0
2003-04-01,261375.0
2003-05-01,261392.0
2003-06-01,265331.0
2003-07-01,267683.0
2003-08-01,270612.0
2003-09-01,270212.0
2003-10-01,269060.0
2003-11-01,270161.0
2003-12-01,271550.0
2004-01-01,272465.0
2004-02-01,274360.0
2004-03-01,279692.0
2004-04-01,277625.0
2004-05-01,281281.0
2004-06-01,279141.0
2004-07-01,281350.0
2004-08-01,281006.0
2004-09-01,286866.0
2004-10-01,287700.0
2004-11-01,289679.0
2004-12-01,293401.0
2005-01-01,290111.0
2005-02-01,293710.0
2005-03-01,294743.0
2005-04-01,297153.0
2005-05-01,295314.0
2005-06-01,305083.0
2005-07-01,307320.0
2005-08-01,303216.0
2005-09-01,304187.0
2005-10-01,303989.0
2005-11-01,306566.0
2005-12-01,306723.0
2006-01-01,315566.0
2006-02-01,313440.0
2006-03-01,314471.0
2006-04-01,316094.0
2006-05-01,314919.0
2006-06-01,316978.0
2006-07-01,317984.0
2006-08-01,318802.0
2006-09-01,316400.0
2006-10-01,316145.0
2006-11-01,317123.0
2006-12-01,320312.0
2007-01-01,320305.0
2007-02-01,321434.0
2007-03-01,323708.0
2007-04-01,322878.0
2007-05-01,327266.0
2007-06-01,324076.0
2007-07-01,325455.0
2007-08-01,327444.0
2007-09-01,328668.0
2007-10-01,330544.0
2007-11-01,334021.0
2007-12-01,329259.0
2008-01-01,330478.0
2008-02-01,327869.0
2008-03-01,328493.0
2008-04-01,328037.0
2008-05-01,331088.0
2008-06-01,331764.0
2008-07-01,330301.0
2008-08-01,327296.0
2008-09-01,321568.0
