symbol,last_updated,last_observation,last_checked
XLE,2026-01-03 01:02:46.419842,2026-01-02,2026-01-03 01:02:46.419842
XLF,2026-01-03 01:02:48.038016,2026-01-02,2026-01-03 01:02:48.038016
XLK,2026-01-03 01:02:49.531251,2026-01-02,2026-01-03 01:02:49.531251
XLY,2026-01-03 01:02:51.046957,2026-01-02,2026-01-03 01:02:51.046957
XLP,2026-01-03 01:02:52.632143,2026-01-02,2026-01-03 01:02:52.632143
XLI,2026-01-03 01:02:54.232675,2026-01-02,2026-01-03 01:02:54.232675
XLV,2026-01-03 01:02:55.826990,2026-01-02,2026-01-03 01:02:55.826990
XLU,2026-01-03 01:02:57.433635,2026-01-02,2026-01-03 01:02:57.433635
XLB,2026-01-03 01:02:59.005745,2026-01-02,2026-01-03 01:02:59.005745
XLC,2026-01-03 01:03:00.132696,2026-01-02,2026-01-03 01:03:00.132696
XLRE,2026-01-03 01:03:01.515464,2026-01-02,2026-01-03 01:03:01.515464
